way_id,way_label,role,milestone_key,milestone_label,available,version,timestamp,node_count,closed_way,perimeter_m,edit_type,tag_changes,tags,geometry_reconstruction
1485767423,Suspected IRGC compound,compound,first_version,First mapped,True,1.0,2026-03-05 18:06:31 UTC,27.0,True,1166.16,creation,+ landuse=military,landuse=military,historical
1485767423,Suspected IRGC compound,compound,last_pre_strike,Last pre-strike,False,,,,,,,,,
1485767423,Suspected IRGC compound,compound,first_post_strike,First post-strike,True,1.0,2026-03-05 18:06:31 UTC,27.0,True,1166.16,creation,+ landuse=military,landuse=military,historical
1485767423,Suspected IRGC compound,compound,latest,Latest,True,10.0,2026-03-05 23:23:54 UTC,41.0,True,1166.52,tag change,~ name:en: Sayyid al-Shuhada -> Sayyid al-Shuhada-Asif,landuse=military; military=base; name=سید الشهدا-عاصف; name:en=Sayyid al-Shuhada-Asif,historical
1484791929,Shajareh Tayyebeh girls' school,school,first_version,First mapped,True,1.0,2026-03-03 03:03:10 UTC,13.0,True,445.17,creation,+ amenity=school | + education=school | + name=Shajareh Tayyebeh girls' elementary school,amenity=school; education=school; name=Shajareh Tayyebeh girls' elementary school,historical
1484791929,Shajareh Tayyebeh girls' school,school,last_pre_strike,Last pre-strike,False,,,,,,,,,
1484791929,Shajareh Tayyebeh girls' school,school,first_post_strike,First post-strike,True,1.0,2026-03-03 03:03:10 UTC,13.0,True,445.17,creation,+ amenity=school | + education=school | + name=Shajareh Tayyebeh girls' elementary school,amenity=school; education=school; name=Shajareh Tayyebeh girls' elementary school,historical
1484791929,Shajareh Tayyebeh girls' school,school,latest,Latest,True,4.0,2026-03-05 22:09:35 UTC,17.0,True,436.14,tag change,+ name:ar=مدرسة شجرة طيبة الابتدائية للبنات,amenity=school; education=school; name=Shajareh Tayyebeh girls' elementary school; name:ar=مدرسة شجرة طيبة الابتدائية للبنات,historical
942760673,Sayyid al-Shuhada-Asif barracks area,barracks_area,first_version,First mapped,True,1.0,2021-05-14 02:59:17 UTC,7.0,True,1251.72,creation,+ landuse=military | + military=range | + name=پادگان تیپ عاصف,landuse=military; military=range; name=پادگان تیپ عاصف,historical
942760673,Sayyid al-Shuhada-Asif barracks area,barracks_area,last_pre_strike,Last pre-strike,True,2.0,2021-05-19 02:17:22 UTC,7.0,True,1251.72,tag change,~ name: پادگان تیپ عاصف -> پادگان سید الشهدا-عاصف,landuse=military; military=range; name=پادگان سید الشهدا-عاصف,historical
942760673,Sayyid al-Shuhada-Asif barracks area,barracks_area,first_post_strike,First post-strike,True,3.0,2026-03-03 03:03:10 UTC,24.0,True,1049.27,geometry change,no tag changes,landuse=military; military=range; name=پادگان سید الشهدا-عاصف,historical
942760673,Sayyid al-Shuhada-Asif barracks area,barracks_area,latest,Latest,True,13.0,2026-03-07 22:56:51 UTC,31.0,True,1044.80,geometry change,no tag changes,landuse=military; name=پادگان سید الشهدا-عاصف; name:ar=ثكنة سيد الشهداء آصف; name:en=Sayyid al-Shuhada-Asif Barracks,historical
