element_type,osm_id,name,building_tag,building_semantics,building_semantics_label,later_assignment,later_assignment_label,tags_str,first_post_strike,first_version,last_pre_strike,latest,stages_present_count,stages_present,first_seen_stage,last_seen_stage
way,1484791940,,yes,generic_building,Generic building,later_compound_polygon,Later compound polygon,building=yes; damage=destroyed; damage:event=Iran War 2026; damage:type=war,False,True,True,False,2,"First mapped, Last pre-strike",First mapped,Last pre-strike
way,1484791941,,yes,generic_building,Generic building,later_compound_polygon,Later compound polygon,building=yes; damage=significant; damage:event=Iran War 2026; damage:type=war,False,True,True,False,2,"First mapped, Last pre-strike",First mapped,Last pre-strike
way,1484791943,,yes,generic_building,Generic building,later_compound_polygon,Later compound polygon,building=yes; damage=significant; damage:event=Iran War 2026; damage:type=war,False,True,True,False,2,"First mapped, Last pre-strike",First mapped,Last pre-strike
way,1484791945,,yes,generic_building,Generic building,later_compound_polygon,Later compound polygon,building=yes,False,True,True,False,2,"First mapped, Last pre-strike",First mapped,Last pre-strike
way,1485178446,,yes,generic_building,Generic building,later_compound_polygon,Later compound polygon,building=yes,False,True,True,False,2,"First mapped, Last pre-strike",First mapped,Last pre-strike
way,1485178449,,yes,generic_building,Generic building,later_compound_polygon,Later compound polygon,building=yes,False,True,True,False,2,"First mapped, Last pre-strike",First mapped,Last pre-strike
way,1485178450,,yes,generic_building,Generic building,later_compound_polygon,Later compound polygon,building=yes,False,True,True,False,2,"First mapped, Last pre-strike",First mapped,Last pre-strike
way,1485178451,,yes,generic_building,Generic building,later_compound_polygon,Later compound polygon,building=yes,False,True,True,False,2,"First mapped, Last pre-strike",First mapped,Last pre-strike
way,1485178453,,yes,generic_building,Generic building,later_compound_polygon,Later compound polygon,building=yes,False,True,True,False,2,"First mapped, Last pre-strike",First mapped,Last pre-strike
way,1485178454,,yes,generic_building,Generic building,later_compound_polygon,Later compound polygon,building=yes,False,True,True,False,2,"First mapped, Last pre-strike",First mapped,Last pre-strike
way,1485773070,,yes,generic_building,Generic building,later_compound_polygon,Later compound polygon,building=yes,False,True,True,False,2,"First mapped, Last pre-strike",First mapped,Last pre-strike
way,1485773071,,yes,generic_building,Generic building,later_compound_polygon,Later compound polygon,building=yes; man_made=tower; tower:type=watchtower,False,True,True,False,2,"First mapped, Last pre-strike",First mapped,Last pre-strike
way,1485773072,,yes,generic_building,Generic building,later_compound_polygon,Later compound polygon,building=yes,False,True,True,False,2,"First mapped, Last pre-strike",First mapped,Last pre-strike
way,1485774434,,yes,generic_building,Generic building,later_compound_polygon,Later compound polygon,building=yes,False,True,True,False,2,"First mapped, Last pre-strike",First mapped,Last pre-strike
way,1485774435,,yes,generic_building,Generic building,later_compound_polygon,Later compound polygon,building=yes,False,True,True,False,2,"First mapped, Last pre-strike",First mapped,Last pre-strike
way,1485797305,,yes,generic_building,Generic building,later_compound_polygon,Later compound polygon,building=yes,False,True,True,False,2,"First mapped, Last pre-strike",First mapped,Last pre-strike
way,1485797310,,yes,generic_building,Generic building,later_compound_polygon,Later compound polygon,building=yes,False,True,True,False,2,"First mapped, Last pre-strike",First mapped,Last pre-strike
way,1485855964,,yes,generic_building,Generic building,later_compound_polygon,Later compound polygon,building=yes; man_made=tower; tower:type=watchtower,False,True,True,False,2,"First mapped, Last pre-strike",First mapped,Last pre-strike
way,1485178447,,yes,generic_building,Generic building,later_school_polygon,Later school polygon,building=yes,False,True,True,False,2,"First mapped, Last pre-strike",First mapped,Last pre-strike
way,1485178455,,yes,generic_building,Generic building,later_school_polygon,Later school polygon,building=yes,False,True,True,False,2,"First mapped, Last pre-strike",First mapped,Last pre-strike
way,1484791928,,school,school_related,School-related,later_school_polygon,Later school polygon,building=school; damage=destroyed; damage:event=Iran War 2026; damage:type=war,False,True,True,False,2,"First mapped, Last pre-strike",First mapped,Last pre-strike
way,1485178448,,yes,generic_building,Generic building,latest_barracks_only,Latest barracks-only area,building=yes,True,False,False,True,2,"First post-strike, Latest",First post-strike,Latest
way,1485178459,,yes,generic_building,Generic building,latest_barracks_only,Latest barracks-only area,building=yes,True,False,False,True,2,"First post-strike, Latest",First post-strike,Latest
way,1485178460,,yes,generic_building,Generic building,latest_barracks_only,Latest barracks-only area,building=yes,True,False,False,True,2,"First post-strike, Latest",First post-strike,Latest
way,1485178461,,yes,generic_building,Generic building,latest_barracks_only,Latest barracks-only area,building=yes,True,False,False,True,2,"First post-strike, Latest",First post-strike,Latest
way,1485768799,,yes,generic_building,Generic building,latest_barracks_only,Latest barracks-only area,building=yes,True,False,False,True,2,"First post-strike, Latest",First post-strike,Latest
way,1485797314,,yes,generic_building,Generic building,latest_barracks_only,Latest barracks-only area,building=yes,True,False,False,True,2,"First post-strike, Latest",First post-strike,Latest
way,1486287561,,yes,generic_building,Generic building,latest_barracks_only,Latest barracks-only area,building=yes,True,False,False,True,2,"First post-strike, Latest",First post-strike,Latest
way,1485178456,,yes,military_related,Military-related,latest_barracks_only,Latest barracks-only area,building=yes; military=barracks,True,False,False,True,2,"First post-strike, Latest",First post-strike,Latest
way,1485178457,,yes,military_related,Military-related,latest_barracks_only,Latest barracks-only area,building=yes; military=barracks,True,False,False,True,2,"First post-strike, Latest",First post-strike,Latest
way,1485178458,,yes,military_related,Military-related,latest_barracks_only,Latest barracks-only area,building=yes; military=barracks,True,False,False,True,2,"First post-strike, Latest",First post-strike,Latest
way,1485178463,,yes,military_related,Military-related,latest_barracks_only,Latest barracks-only area,building=yes; military=barracks,True,False,False,True,2,"First post-strike, Latest",First post-strike,Latest
way,1485178467,,yes,military_related,Military-related,latest_barracks_only,Latest barracks-only area,building=yes; military=barracks,True,False,False,True,2,"First post-strike, Latest",First post-strike,Latest
way,1485767424,,yes,military_related,Military-related,latest_barracks_only,Latest barracks-only area,building=yes; military=barracks,True,False,False,True,2,"First post-strike, Latest",First post-strike,Latest
way,1485767428,,yes,military_related,Military-related,latest_barracks_only,Latest barracks-only area,building=yes; military=barracks,True,False,False,True,2,"First post-strike, Latest",First post-strike,Latest
way,1485767429,,yes,military_related,Military-related,latest_barracks_only,Latest barracks-only area,building=yes; military=barracks,True,False,False,True,2,"First post-strike, Latest",First post-strike,Latest
way,1486287557,,yes,military_related,Military-related,latest_barracks_only,Latest barracks-only area,building=yes; military=barracks,True,False,False,True,2,"First post-strike, Latest",First post-strike,Latest
way,1486287558,,yes,military_related,Military-related,latest_barracks_only,Latest barracks-only area,building=yes; military=barracks,True,False,False,True,2,"First post-strike, Latest",First post-strike,Latest
way,1486287559,,yes,military_related,Military-related,latest_barracks_only,Latest barracks-only area,building=yes; military=barracks,True,False,False,True,2,"First post-strike, Latest",First post-strike,Latest
way,1486287560,,yes,military_related,Military-related,latest_barracks_only,Latest barracks-only area,building=yes; military=barracks,True,False,False,True,2,"First post-strike, Latest",First post-strike,Latest
way,1484791936,,yes,generic_building,Generic building,outside_latest_barracks,Outside latest barracks,building=yes; damage=significant; damage:event=Iran War 2026; damage:type=war,False,True,True,False,2,"First mapped, Last pre-strike",First mapped,Last pre-strike
way,1484791937,,yes,generic_building,Generic building,outside_latest_barracks,Outside latest barracks,building=yes; damage=significant; damage:event=Iran War 2026; damage:type=war,False,True,True,False,2,"First mapped, Last pre-strike",First mapped,Last pre-strike
way,1484791938,,yes,generic_building,Generic building,outside_latest_barracks,Outside latest barracks,building=yes; damage=significant; damage:event=Iran War 2026; damage:type=war,False,True,True,False,2,"First mapped, Last pre-strike",First mapped,Last pre-strike
way,1484791939,,yes,generic_building,Generic building,outside_latest_barracks,Outside latest barracks,building=yes; damage=significant; damage:event=Iran War 2026; damage:type=war,False,True,True,False,2,"First mapped, Last pre-strike",First mapped,Last pre-strike
way,1485767425,,yes,generic_building,Generic building,outside_latest_barracks,Outside latest barracks,building=yes; damage=significant; damage:event=Iran War 2026; damage:type=war,False,True,True,False,2,"First mapped, Last pre-strike",First mapped,Last pre-strike
way,1485767426,,yes,generic_building,Generic building,outside_latest_barracks,Outside latest barracks,building=yes; damage=significant; damage:event=Iran War 2026; damage:type=war,False,True,True,False,2,"First mapped, Last pre-strike",First mapped,Last pre-strike
way,1485767427,,yes,generic_building,Generic building,outside_latest_barracks,Outside latest barracks,building=yes,False,True,True,False,2,"First mapped, Last pre-strike",First mapped,Last pre-strike
way,1485771694,,yes,generic_building,Generic building,outside_latest_barracks,Outside latest barracks,building=yes,False,True,True,False,2,"First mapped, Last pre-strike",First mapped,Last pre-strike
way,1485771695,,yes,generic_building,Generic building,outside_latest_barracks,Outside latest barracks,building=yes,False,True,True,False,2,"First mapped, Last pre-strike",First mapped,Last pre-strike
way,1485773074,,yes,generic_building,Generic building,outside_latest_barracks,Outside latest barracks,building=yes,False,True,True,False,2,"First mapped, Last pre-strike",First mapped,Last pre-strike
way,1485773075,,yes,generic_building,Generic building,outside_latest_barracks,Outside latest barracks,building=yes,False,True,True,False,2,"First mapped, Last pre-strike",First mapped,Last pre-strike
way,1485773076,,yes,generic_building,Generic building,outside_latest_barracks,Outside latest barracks,building=yes,False,True,True,False,2,"First mapped, Last pre-strike",First mapped,Last pre-strike
way,1485797302,,yes,generic_building,Generic building,outside_latest_barracks,Outside latest barracks,building=yes,False,True,True,False,2,"First mapped, Last pre-strike",First mapped,Last pre-strike
